"Nimbahera, India",473968
"Nirmal, India",672756
"Nizamabad, India",627449
"Nohar, India",596777
"Noida, India",463122
"Nokha, India",2410357
"Nongstoin, India",350587
"Noorpur, India",1064568
"North Lakhimpur, India",815979
"Nowgong, India",625936
"Nuzvid, India",1528494
"Oddanchatram, India",1443941
"Ongole, India",898698
"Orai, India",1176048
"Osmanabad, India",1045910
"Ottappalam, India",1545133
"Ozar, India",1003538
"Pachora, India",463391
"Padra, India",1572795
"Padrauna, India",1261368
"Paithan, India",961502
"Pakaur, India",550408
"Palacole, India",1448660
"Palakkad, India",419214
"Palani, India",649085
"Palanpur, India",1238468
"Palasa Kasibugga, India",1687157
"Palghar, India",1031615
"Pali, India",749220
"Palia Kalan, India",402626
"Palitana, India",913235
"Palladam, India",820287
"Palwal, India",521113
"Palwancha, India",614347
"Panaji, India",404861
"Panchkula, India",676830
"Pandharkaoda, India",915276
"Pandharpur, India",1591077
"Pandhurna, India",1499485
"Pandua, India",677011
"Panipat, India",1542399
"Panna, India",152346
"Panruti, India",1081700
"Panvel, India",1061734
"Pappinisseri, India",758155
"Paradip, India",261358
"Paramakudi, India",706700
"Paravoor, India",1623438
"Parbhani, India",380226
"Parlakhemundi, India",632456
"Parli, India",1036655
"Partur, India",611983
"Parvathipuram, India",1553989
"Pasan, India",1078532
"Paschim Punropara, India",1020765
"Patan, India",530133
"Pathanamthitta, India",550328
"Pathankot, India",158943
"Pathri, India",1194468
"Patiala, India",842145
"Patna, India",507114
"Patratu, India",622747
"Pattamundai, India",682739
"Patti, India",381180
"Pattukkottai, India",1093608
"Pavagada, India",1151618
"Pedana, India",509090
"Peddapuram, India",638562
"Pehowa, India",1142546
"Pen, India",755690
"Perambalur, India",1232281
"Peringathur, India",494488
"Perinthalmanna, India",539531
"Periyakulam, India",1149132
"Periyasemur, India",1430957
"Pernampattu, India",898361
"Perumbavoor, India",607040
"Petlad, India",844514
"Phagwara, India",1256547
"Phalodi, India",1732625
"Phaltan, India",586211
"Phulabani, India",1551779
"Phusro, India",522989
"Pihani, India",1108142
"Pilani, India",1393524
"Pilibanga, India",194219
"Pilibhit, India",512516
"Pilkhuwa, India",858200
"Pinjore, India",1279633
"Pipar City, India",1637606
"Pipariya, India",1241212
"Pithampur, India",429936
"Pithapuram, India",1466243
"Pithoragarh, India",1229631
"Pollachi, India",929732
"Pondicherry, India",323586
"Ponnani, India",817943
"Ponnur, India",954135
"Porbandar, India",1276025
"Porsa, India",1241869
"Port Blair, India",1111369
"Pratapgarh, India",1830405
"Proddatur, India",875740
"Pudukkottai, India",1583137
"Pulgaon, India",891670
"Puliyankudi, India",2057089
"Punalur, India",861922
"Punch, India",648662
"Pune, India",109313930
"Punganur, India",309115
"Puranpur, India",1196521
"Puri, India",369851
"Purna, India",700537
"Purnia, India",1019830
"Purulia, India",1115432
"Pusad, India",898870
"Puttur, India",1796277
"Raayachuru, India",1151002
"Rabkavi Banhatti, India",1409203
"Radhanpur, India",1354542
"Rae Bareli, India",1046223
"Raghogarh-Vijaypur, India",1028253
