City,Amount,Latitude,Longitude
"Greater Mumbai, India",576751476,19.2267595,72.99430658609035
"Gudivada, India",1015533,16.4329976,80.9937151
"Gudur, India",1082401,17.7988349,79.9788493
"Gumia, India",875775,23.7978518,85.75647029537049
"Guntakal, India",224886,15.11965065,77.45529027323644
"Guntur, India",971660,16.2915189,80.4541588
"Gurdaspur, India",749797,32.166667,75.316667
"Gurgaon, India",1959098,28.42826235,77.00270014657752
"Guwahati, India",1230416,26.1805978,91.753943
"Gwalior, India",1247031,26.2037247,78.1573628
"Habra, India",1000473,22.8400629,88.6630678
"Hajipur, India",1587327,25.7205805,85.25555961402884
"Haldwani-cum-Kathgodam, India",1203970,,
"Hansi, India",545453,29.1352917,75.97647564346738
"Hapur, India",943941,28.740612499999997,77.83542556519009
"Hardoi , India",435739,27.33857665,80.0975264641719
"Hardwar, India",951487,29.9384473,78.1452985
"Hazaribag, India",735657,24.0,85.25
"Hindupur, India",1106438,13.8306127,77.492635
"Hisar, India",1741804,29.080640950000003,75.788754109493
"Hoshiarpur, India",592445,31.60857425,75.84644246890946
"Hubli-Dharwad, India",1379495,15.427867549999998,75.01121404513651
"Hugli-Chinsurah, India",171822,22.8992251,88.3921337
"Hyderabad, India",114493477,17.360589,78.4740613
"Ichalkaranji, India",1240273,16.6959348,74.4555755
"Imphal, India",1533801,24.7991162,93.9364419
"Indore, India",772769,22.7203616,75.8681996
"Itarsi, India",903062,22.6124961,77.762753
"Jabalpur, India",590254,23.1608938,79.9497702
"Jagdalpur, India",1825991,19.0870758,82.0235715
"Jaggaiahpet, India",600552,19.2090738,79.5863071
"Jagraon, India",1551497,30.8041704,75.4753645
"Jagtial, India",1159416,18.82135895,78.91506632525903
"Jaipur, India",111136855,26.9154576,75.8189817
"Jalandhar Cantt., India",809823,31.2905114,75.6302498
"Jalandhar, India",1595649,31.29201065,75.56805772253911
"Jalpaiguri, India",722298,26.4733048,88.6788668614395
"Jamalpur, India",913702,25.3297912,86.45677664617543
"Jammalamadugu, India",1867345,14.82604155,78.39903877659904
"Jammu, India",1811802,32.7185614,74.8580917
"Jamnagar, India",1401026,22.453729600000003,70.0513626911195
"Jamshedpur, India",1632722,22.8015194,86.2029579
"Jamui, India",994470,24.967852049999998,86.17351147289283
"Jangaon, India",1206850,17.746584300000002,79.24072182693956
"Jatani, India",899303,20.17822305,85.70930157008985
"Jehanabad, India",599356,25.15247135,85.00687848982191
"Jhansi, India",2112589,25.531031149999997,78.65268901605349
"Jhargram, India",1231801,22.3770636,87.04867177362203
"Jharsuguda, India",255160,21.87705125,84.00905063735019
"Jhumri Tilaiya, India",664208,24.4348984,85.529513
"Jind, India",2187252,29.301826249999998,76.33847076788838
"Jodhpur, India",772359,26.275682850000003,73.02969731064445
"Jorhat, India",1382127,26.7577925,94.2079645
"Kadapa, India",1747259,14.4752936,78.8216861
"Kadi, India",928116,23.2969449,72.3306381
"Kadiri, India",181435,14.16738855,78.14185565
"Kagaznagar, India",597818,19.401042949999997,79.43454087965227
"Kaithal, India",1209233,29.822820749999998,76.37830986647243
"Kakinada, India",939730,17.1213126,82.18422479792069
"Kalimpong, India",764982,27.0702869,88.4723676
"Kalpi, India",799421,26.115446499999997,79.61537074753903
"Kalyan-Dombivali, India",2436920,19.2334875,73.1182464
"Kamareddy, India",352000,18.316551,78.05393808043348
"Kancheepuram, India",562378,12.87960515,79.70427615297989
"Kandukur, India",778680,15.2250199,79.90801153111607
"Kanhangad, India",494139,12.2906471,75.10740557896587
"Kannur, India",1004399,11.8763836,75.3737973
"Kanpur, India",114370532,26.4609135,80.3217588
"Kapadvanj, India",504624,23.0232402,73.0727531
"Kapurthala, India",1583337,31.38524095,75.30552273989395
"Karaikal, India",1032059,10.91571,79.8375761
"Karimganj, India",958710,24.8483482,92.33221292310328
"Karimnagar, India",493900,18.4346438,79.1322648
"Karjat, India",646359,18.57982995,75.0015318226267
"Karnal, India",751751,29.6803266,76.9896254
"Karur, India",560664,10.9301522,78.08485454572889
"Karwar, India",1003403,14.8120931,74.1319229
"Kasaragod, India",756365,12.5035635,74.990834
"Kashipur, India",1018763,29.2117573,78.9617306
"Kathua, India",541276,32.4288215,75.56286458392415
"Katihar, India",472140,25.560900349999997,87.64765353997149
"Kavali, India",979637,14.91098925,80.01534335527676
"Kayamkulam, India",1165436,9.172188,76.5008685
"Kendrapara, India",965563,20.50040085,86.43170622796478
"Kendujhar, India",847571,21.5892323,85.66878413736906
"Keshod, India",524017,21.31486295,70.26789366226589
"Khair, India",1482348,27.9843591,77.73740537405565
"Khambhat, India",965032,22.3166806,72.6243126
"Khammam, India",578412,17.5,80.333333
"Khanna, India",994387,25.5656914,80.0634887
"Kharagpur, India",1215466,25.133173050000003,86.52504036339789
"Kharar, India",1320133,25.8819068,76.4192052
"Kishanganj, India",642252,26.130435300000002,87.94010318229245
"Kochi, India",1015139,9.931308,76.2674136
"Kodungallur, India",1373818,10.2902062,76.15264918448622
"Kohima, India",944110,25.75,94.166667
"Kolar, India",1199580,13.1369996,78.1339606
"Kolkata, India",115466943,22.5414185,88.35769124388872
"Kollam, India",912426,8.8879509,76.5955013
"Koratla, India",1552165,18.8238151,78.7205172
"Korba, India",1869219,22.3547468,82.7110855
"Kot Kapura, India",774900,,
"Kothagudem, India",591144,17.5456307,80.6116162
"Kottayam, India",1368235,9.6287383,76.64553257390992
"Kovvur, India",758448,17.01796845,81.710121083101
